[2020-07-11 13:08:27,756] - test_addpaper.py - test_addpaper [Line:26] - [INFO] - paper/test_addpaper: SUCCESS！
[2020-07-11 13:13:33,030] - test_addpaper.py - test_addpaper [Line:26] - [INFO] - paper/test_addpaper: SUCCESS！
[2020-07-11 13:13:33,584] - test_edittag.py - test_edittag [Line:25] - [INFO] - paper/test_edittag: SUCCESS！
[2020-07-11 13:13:34,164] - test_enable.py - test_enable [Line:28] - [INFO] - paper/test_enable: SUCCESS！
[2020-07-11 13:13:34,664] - paper.py - enable_paper [Line:46] - [ERROR] - 启用套卷成功！
[2020-07-11 13:13:34,829] - test_offshelf.py - test_offshelf [Line:29] - [INFO] - paper/test_offshelf: SUCCESS！
[2020-07-11 13:13:34,999] - test_paperlist.py - test_paper_list [Line:23] - [INFO] - paper/test_paperlist: SUCCESS！
[2020-07-11 13:13:35,179] - test_paperlist_randsubject.py - test_paper_list_rand_subject [Line:26] - [INFO] - paper/test_paperlist_randsubject: SUCCESS！
[2020-07-11 13:13:35,300] - test_standard_paperlist.py - test_standard_paperlist [Line:23] - [INFO] - paper/test_standard_paperlist: SUCCESS！
[2020-07-11 13:13:35,410] - test_standard_randpaperlist.py - test_standard_rand_paper_list [Line:26] - [INFO] - paper/test_standard_randpaperlist: SUCCESS！
[2020-07-11 13:13:35,501] - test_viewtag.py - test_viewtag [Line:21] - [INFO] - paper/test_viewtag: SUCCESS！
