[2020-03-04 14:31:09,859] - getpointtree.py - test_listIsNone [Line:45] - [INFO] - point/知识点：SUCCESS-输入科目学段查询出空列表》测试通过！
[2020-03-04 14:31:10,561] - getpointtree.py - test_periodIsNone [Line:93] - [INFO] - point/知识点：FAIL-未填写学段》测试通过！
[2020-03-04 14:31:10,659] - getpointtree.py - test_regionIsNone [Line:109] - [INFO] - point/知识点：FAIL-未填写地区》测试通过！
[2020-03-04 14:31:10,748] - getpointtree.py - test_subjectError [Line:61] - [INFO] - point/知识点：SUCCESS-科目不存在，列表返回空》测试通过！
[2020-03-04 14:31:10,833] - getpointtree.py - test_subjectIsNone [Line:77] - [INFO] - point/知识点：FAIL-未填写科目》测试通过！
[2020-03-04 14:35:04,813] - getpointtree.py - test_getPointTree [Line:31] - [INFO] - point/知识点：SUCCESS-获取知识树》测试通过！
[2020-03-04 14:35:04,873] - getpointtree.py - test_listIsNone [Line:47] - [INFO] - point/知识点：SUCCESS-输入科目学段查询出空列表》测试通过！
[2020-03-04 14:35:04,928] - getpointtree.py - test_periodIsNone [Line:95] - [INFO] - point/知识点：FAIL-未填写学段》测试通过！
[2020-03-04 14:35:04,982] - getpointtree.py - test_regionIsNone [Line:111] - [INFO] - point/知识点：FAIL-未填写地区》测试通过！
[2020-03-04 14:35:05,027] - getpointtree.py - test_subjectError [Line:63] - [INFO] - point/知识点：SUCCESS-科目不存在，列表返回空》测试通过！
[2020-03-04 14:35:05,083] - getpointtree.py - test_subjectIsNone [Line:79] - [INFO] - point/知识点：FAIL-未填写科目》测试通过！
[2020-03-04 14:35:24,036] - getpointtree.py - test_getPointTree [Line:31] - [INFO] - point/知识点：SUCCESS-获取知识树》测试通过！
[2020-03-04 14:35:24,121] - getpointtree.py - test_listIsNone [Line:47] - [INFO] - point/知识点：SUCCESS-输入科目学段查询出空列表》测试通过！
[2020-03-04 14:35:24,212] - getpointtree.py - test_periodIsNone [Line:95] - [INFO] - point/知识点：FAIL-未填写学段》测试通过！
[2020-03-04 14:35:24,277] - getpointtree.py - test_regionIsNone [Line:111] - [INFO] - point/知识点：FAIL-未填写地区》测试通过！
[2020-03-04 14:35:24,348] - getpointtree.py - test_subjectError [Line:63] - [INFO] - point/知识点：SUCCESS-科目不存在，列表返回空》测试通过！
[2020-03-04 14:35:24,406] - getpointtree.py - test_subjectIsNone [Line:79] - [INFO] - point/知识点：FAIL-未填写科目》测试通过！
[2020-03-04 14:35:47,534] - getpointtree.py - test_listIsNone [Line:47] - [INFO] - point/知识点：SUCCESS-输入科目学段查询出空列表》测试通过！
[2020-03-04 14:35:47,590] - getpointtree.py - test_periodIsNone [Line:95] - [INFO] - point/知识点：FAIL-未填写学段》测试通过！
[2020-03-04 14:35:47,646] - getpointtree.py - test_regionIsNone [Line:111] - [INFO] - point/知识点：FAIL-未填写地区》测试通过！
[2020-03-04 14:35:47,727] - getpointtree.py - test_subjectError [Line:63] - [INFO] - point/知识点：SUCCESS-科目不存在，列表返回空》测试通过！
[2020-03-04 14:35:47,792] - getpointtree.py - test_subjectIsNone [Line:79] - [INFO] - point/知识点：FAIL-未填写科目》测试通过！
[2020-03-04 14:40:20,970] - getpointtree.py - test_getPointTree [Line:31] - [INFO] - point/知识点：SUCCESS-获取知识树》测试通过！
[2020-03-04 14:40:21,064] - getpointtree.py - test_listIsNone [Line:47] - [INFO] - point/知识点：SUCCESS-输入科目学段查询出空列表》测试通过！
[2020-03-04 14:40:21,135] - getpointtree.py - test_periodIsNone [Line:95] - [INFO] - point/知识点：FAIL-未填写学段》测试通过！
[2020-03-04 14:40:21,211] - getpointtree.py - test_regionIsNone [Line:111] - [INFO] - point/知识点：FAIL-未填写地区》测试通过！
[2020-03-04 14:40:21,269] - getpointtree.py - test_subjectError [Line:63] - [INFO] - point/知识点：SUCCESS-科目不存在，列表返回空》测试通过！
[2020-03-04 14:40:21,331] - getpointtree.py - test_subjectIsNone [Line:79] - [INFO] - point/知识点：FAIL-未填写科目》测试通过！
[2020-03-04 14:40:40,331] - getpointtree.py - test_getPointTree [Line:31] - [INFO] - point/知识点：SUCCESS-获取知识树》测试通过！
[2020-03-04 14:40:40,407] - getpointtree.py - test_listIsNone [Line:47] - [INFO] - point/知识点：SUCCESS-输入科目学段查询出空列表》测试通过！
[2020-03-04 14:40:40,504] - getpointtree.py - test_periodIsNone [Line:95] - [INFO] - point/知识点：FAIL-未填写学段》测试通过！
[2020-03-04 14:40:40,559] - getpointtree.py - test_regionIsNone [Line:111] - [INFO] - point/知识点：FAIL-未填写地区》测试通过！
[2020-03-04 14:40:40,629] - getpointtree.py - test_subjectError [Line:63] - [INFO] - point/知识点：SUCCESS-科目不存在，列表返回空》测试通过！
[2020-03-04 14:40:40,686] - getpointtree.py - test_subjectIsNone [Line:79] - [INFO] - point/知识点：FAIL-未填写科目》测试通过！
[2020-03-04 14:40:55,349] - getpointtree.py - test_getPointTree [Line:31] - [INFO] - point/知识点：SUCCESS-获取知识树》测试通过！
[2020-03-04 14:40:55,408] - getpointtree.py - test_listIsNone [Line:47] - [INFO] - point/知识点：SUCCESS-输入科目学段查询出空列表》测试通过！
[2020-03-04 14:40:55,463] - getpointtree.py - test_periodIsNone [Line:95] - [INFO] - point/知识点：FAIL-未填写学段》测试通过！
[2020-03-04 14:40:55,534] - getpointtree.py - test_regionIsNone [Line:111] - [INFO] - point/知识点：FAIL-未填写地区》测试通过！
[2020-03-04 14:40:55,612] - getpointtree.py - test_subjectError [Line:63] - [INFO] - point/知识点：SUCCESS-科目不存在，列表返回空》测试通过！
[2020-03-04 14:40:55,674] - getpointtree.py - test_subjectIsNone [Line:79] - [INFO] - point/知识点：FAIL-未填写科目》测试通过！
[2020-03-04 14:41:10,169] - getpointtree.py - test_listIsNone [Line:47] - [INFO] - point/知识点：SUCCESS-输入科目学段查询出空列表》测试通过！
[2020-03-04 14:41:10,249] - getpointtree.py - test_periodIsNone [Line:95] - [INFO] - point/知识点：FAIL-未填写学段》测试通过！
[2020-03-04 14:41:10,307] - getpointtree.py - test_regionIsNone [Line:111] - [INFO] - point/知识点：FAIL-未填写地区》测试通过！
[2020-03-04 14:41:10,374] - getpointtree.py - test_subjectError [Line:63] - [INFO] - point/知识点：SUCCESS-科目不存在，列表返回空》测试通过！
[2020-03-04 14:41:10,438] - getpointtree.py - test_subjectIsNone [Line:79] - [INFO] - point/知识点：FAIL-未填写科目》测试通过！
[2020-03-04 14:46:36,959] - getpointtree.py - test_getPointTree [Line:31] - [INFO] - point/知识点：SUCCESS-获取知识树》测试通过！
[2020-03-04 14:46:37,038] - getpointtree.py - test_listIsNone [Line:47] - [INFO] - point/知识点：SUCCESS-输入科目学段查询出空列表》测试通过！
[2020-03-04 14:46:37,123] - getpointtree.py - test_periodIsNone [Line:95] - [INFO] - point/知识点：FAIL-未填写学段》测试通过！
