[2020-02-24 18:16:34,223] - getpointtree.py - test_getPointTree [Line:29] - [INFO] - point/知识点：SUCCESS-获取知识树》测试通过！
[2020-02-24 18:17:22,244] - getpointtree.py - test_getPointTree [Line:29] - [INFO] - point/知识点：SUCCESS-获取知识树》测试通过！
[2020-02-24 18:28:23,014] - getpointtree.py - test_getPointTree [Line:29] - [INFO] - point/知识点：SUCCESS-获取知识树》测试通过！
[2020-02-24 18:39:11,965] - getpointtree.py - test_getPointTree [Line:29] - [INFO] - point/知识点：SUCCESS-获取知识树》测试通过！
[2020-02-24 18:39:12,059] - getpointtree.py - test_subjectIsNone [Line:45] - [INFO] - point/知识点：FAIL-未填写科目》测试通过！
[2020-02-24 18:40:24,697] - getpointtree.py - test_subjectIsNone [Line:45] - [INFO] - point/知识点：FAIL-未填写科目》测试通过！
[2020-02-24 18:49:08,683] - getpointtree.py - test_subjectError [Line:61] - [INFO] - point/知识点：SUCCESS-科目不存在，列表返回空》测试通过！
[2020-02-24 18:49:08,758] - getpointtree.py - test_subjectIsNone [Line:45] - [INFO] - point/知识点：FAIL-未填写科目》测试通过！
[2020-02-24 18:49:51,989] - getpointtree.py - test_subjectError [Line:61] - [INFO] - point/知识点：SUCCESS-科目不存在，列表返回空》测试通过！
[2020-02-24 18:49:52,064] - getpointtree.py - test_subjectIsNone [Line:45] - [INFO] - point/知识点：FAIL-未填写科目》测试通过！
[2020-02-24 18:57:51,859] - getpointtree.py - test_subjectError [Line:61] - [INFO] - point/知识点：SUCCESS-科目不存在，列表返回空》测试通过！
[2020-02-24 18:57:51,957] - getpointtree.py - test_subjectIsNone [Line:45] - [INFO] - point/知识点：FAIL-未填写科目》测试通过！
[2020-02-24 18:58:22,335] - getpointtree.py - test_subjectError [Line:61] - [INFO] - point/知识点：SUCCESS-科目不存在，列表返回空》测试通过！
[2020-02-24 18:58:22,428] - getpointtree.py - test_subjectIsNone [Line:45] - [INFO] - point/知识点：FAIL-未填写科目》测试通过！
[2020-02-24 18:59:31,948] - getpointtree.py - test_getPointTree [Line:29] - [INFO] - point/知识点：SUCCESS-获取知识树》测试通过！
[2020-02-24 18:59:37,000] - getpointtree.py - test_subjectError [Line:61] - [INFO] - point/知识点：SUCCESS-科目不存在，列表返回空》测试通过！
[2020-02-24 18:59:37,172] - getpointtree.py - test_subjectIsNone [Line:45] - [INFO] - point/知识点：FAIL-未填写科目》测试通过！
[2020-02-25 11:49:05,544] - getpointtree.py - test_getPointTree [Line:29] - [INFO] - point/知识点：SUCCESS-获取知识树》测试通过！
[2020-02-25 11:49:05,628] - getpointtree.py - test_subjectError [Line:61] - [INFO] - point/知识点：SUCCESS-科目不存在，列表返回空》测试通过！
[2020-02-25 11:49:05,720] - getpointtree.py - test_subjectIsNone [Line:45] - [INFO] - point/知识点：FAIL-未填写科目》测试通过！
[2020-02-25 14:30:09,744] - getpointtree.py - test_getPointTree [Line:29] - [INFO] - point/知识点：SUCCESS-获取知识树》测试通过！
[2020-02-25 14:30:09,828] - getpointtree.py - test_listIsNone [Line:45] - [INFO] - point/知识点：SUCCESS-输入科目学段查询出空列表》测试通过！
[2020-02-25 14:30:09,912] - getpointtree.py - test_subjectError [Line:77] - [INFO] - point/知识点：SUCCESS-科目不存在，列表返回空》测试通过！
[2020-02-25 14:30:09,996] - getpointtree.py - test_subjectIsNone [Line:61] - [INFO] - point/知识点：FAIL-未填写科目》测试通过！
[2020-02-25 14:31:21,424] - getpointtree.py - test_getPointTree [Line:29] - [INFO] - point/知识点：SUCCESS-获取知识树》测试通过！
[2020-02-25 14:31:21,540] - getpointtree.py - test_listIsNone [Line:45] - [INFO] - point/知识点：SUCCESS-输入科目学段查询出空列表》测试通过！
[2020-02-25 14:31:21,702] - getpointtree.py - test_subjectError [Line:77] - [INFO] - point/知识点：SUCCESS-科目不存在，列表返回空》测试通过！
[2020-02-25 14:31:21,805] - getpointtree.py - test_subjectIsNone [Line:61] - [INFO] - point/知识点：FAIL-未填写科目》测试通过！
[2020-02-25 14:32:01,419] - getpointtree.py - test_getPointTree [Line:29] - [INFO] - point/知识点：SUCCESS-获取知识树》测试通过！
[2020-02-25 14:32:01,476] - getpointtree.py - test_listIsNone [Line:45] - [INFO] - point/知识点：SUCCESS-输入科目学段查询出空列表》测试通过！
[2020-02-25 14:32:01,532] - getpointtree.py - test_periodIsNone [Line:93] - [INFO] - point/知识点：FAIL-未填写学段》测试通过！
[2020-02-25 14:32:01,603] - getpointtree.py - test_subjectError [Line:77] - [INFO] - point/知识点：SUCCESS-科目不存在，列表返回空》测试通过！
[2020-02-25 14:32:01,688] - getpointtree.py - test_subjectIsNone [Line:61] - [INFO] - point/知识点：FAIL-未填写科目》测试通过！
[2020-02-25 14:40:38,449] - getpointtree.py - test_getPointTree [Line:29] - [INFO] - point/知识点：SUCCESS-获取知识树》测试通过！
[2020-02-25 14:40:38,517] - getpointtree.py - test_listIsNone [Line:45] - [INFO] - point/知识点：SUCCESS-输入科目学段查询出空列表》测试通过！
[2020-02-25 14:40:38,588] - getpointtree.py - test_periodIsNone [Line:93] - [INFO] - point/知识点：FAIL-未填写学段》测试通过！
[2020-02-25 14:40:38,665] - getpointtree.py - test_regionIsNone [Line:109] - [INFO] - point/知识点：FAIL-未填写地区》测试通过！
[2020-02-25 14:40:38,745] - getpointtree.py - test_subjectError [Line:77] - [INFO] - point/知识点：SUCCESS-科目不存在，列表返回空》测试通过！
[2020-02-25 14:40:38,842] - getpointtree.py - test_subjectIsNone [Line:61] - [INFO] - point/知识点：FAIL-未填写科目》测试通过！
